
Getting data from wss://ptmessaging-eu1bc.prd.jifeline.cloud/ptmessaging/b71d5fb8-840d-4641-ba7f-c2d5574cdec4?bufferSize=1000&amp;useArrayFormat=true
16:24:30.323 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0758,0x40,0x00,0x00] format[0x0200] data[0x5902B992498728C1638728]
16:24:31.089 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x4100] args[0x0750,0x07,0xB0,0x00] format[0x0200] data[0xB0013E0000000000]
16:24:31.178 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0750,0xB0,0x00,0x00] format[0x0200] data[0x21E1]
16:24:31.428 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0758,0xB0,0x00,0x00] format[0x0200] data[0x61E100059A00001301]
16:24:31.569 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0750,0xB0,0x00,0x00] format[0x0200] data[0x21E2]
16:24:31.807 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0758,0xB0,0x00,0x00] format[0x0200] data[0x61E2003E590100]
16:24:31.912 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0750,0xB0,0x00,0x00] format[0x0200] data[0x1381]
16:24:32.097 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0758,0xB0,0x00,0x00] format[0x0200] data[0x5300]
16:24:32.141 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0750,0xB0,0x00,0x00] format[0x0200] data[0x1382]
16:24:32.287 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0758,0xB0,0x00,0x00] format[0x0200] data[0x5300]
16:24:32.946 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x4100] args[0x0750,0x07,0xC7,0x00] format[0x0200] data[0xC7023E0000000000]
16:24:33.009 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0750,0xC7,0x00,0x00] format[0x0200] data[0x1003]
16:24:33.037 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x7F78] args[0x0758,0x00,0xC7,0x00] format[0x0200] data[0xC7037F1078000000]
16:24:33.177 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0758,0xC7,0x00,0x00] format[0x0200] data[0x5003003201F4]
16:24:33.259 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0750,0xC7,0x00,0x00] format[0x0200] data[0x190209]
16:24:33.287 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0758,0xC7,0x00,0x00] format[0x0200] data[0x590239]
16:24:33.970 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x4100] args[0x0750,0x07,0x4D,0x00] format[0x0200] data[0x4D023E0000000000]
16:24:34.061 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0750,0x4D,0x00,0x00] format[0x0200] data[0x1003]
16:24:34.179 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0758,0x4D,0x00,0x00] format[0x0200] data[0x5003003201F4]
16:24:34.230 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0750,0x4D,0x00,0x00] format[0x0200] data[0x190209]
16:24:34.314 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x7F78] args[0x0758,0x00,0x4D,0x00] format[0x0200] data[0x4D037F1978000000]
16:24:34.334 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0758,0x4D,0x00,0x00] format[0x0200] data[0x590239]
16:24:34.967 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x3E00] args[0x0750,0x00,0x4B,0x00] format[0x0200] data[0x4B023E0000000000]
16:24:36.663 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x4100] args[0x0750,0x07,0x4A,0x00] format[0x0200] data[0x4A023E0000000000]
16:24:36.767 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0750,0x4A,0x00,0x00] format[0x0200] data[0x1003]
16:24:36.818 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0758,0x4A,0x00,0x00] format[0x0200] data[0x5003003201F4]
16:24:36.864 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0750,0x4A,0x00,0x00] format[0x0200] data[0x190209]
16:24:36.948 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x7F78] args[0x0758,0x00,0x4A,0x00] format[0x0200] data[0x4A037F1978000000]
16:24:36.968 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0758,0x4A,0x00,0x00] format[0x0200] data[0x590239]
16:24:37.663 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x4100] args[0x0750,0x07,0xD3,0x00] format[0x0200] data[0xD3023E0000000000]
16:24:37.701 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0750,0xD3,0x00,0x00] format[0x0200] data[0x1003]
16:24:37.726 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0758,0xD3,0x00,0x00] format[0x0200] data[0x5003003201F4]
16:24:37.795 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0750,0xD3,0x00,0x00] format[0x0200] data[0x190209]
16:24:37.827 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0758,0xD3,0x00,0x00] format[0x0200] data[0x5902B9]
16:24:38.543 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x3E00] args[0x0750,0x00,0x42,0x00] format[0x0200] data[0x42023E0000000000]
16:24:40.262 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x3E00] args[0x0750,0x00,0x41,0x00] format[0x0200] data[0x41023E0000000000]
16:24:41.954 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x4100] args[0x0750,0x07,0x0F,0x00] format[0x0200] data[0x0F023E0000000000]
16:24:42.059 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0750,0x0F,0x00,0x00] format[0x0200] data[0x1003]
16:24:42.143 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0758,0x0F,0x00,0x00] format[0x0200] data[0x5003003201F4]
16:24:42.206 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0750,0x0F,0x00,0x00] format[0x0200] data[0x190209]
16:24:42.261 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0758,0x0F,0x00,0x00] format[0x0200] data[0x5902B9]
16:24:42.915 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x3E00] args[0x0750,0x00,0xE9,0x00] format[0x0200] data[0xE9023E0000000000]
16:24:44.670 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x3E00] args[0x0750,0x00,0xB5,0x00] format[0x0200] data[0xB5023E0000000000]
16:24:46.416 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x3E00] args[0x0750,0x00,0x67,0x00] format[0x0200] data[0x67023E0000000000]
16:24:48.214 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x3E00] args[0x0750,0x00,0x69,0x00] format[0x0200] data[0x69023E0000000000]
16:24:50.078 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x3E00] args[0x0750,0x00,0xEC,0x00] format[0x0200] data[0xEC013E0000000000]
16:24:52.027 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x4100] args[0x0750,0x07,0x5F,0x00] format[0x0200] data[0x5F023E0000000000]
16:24:52.106 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0750,0x5F,0x00,0x00] format[0x0200] data[0x1003]
16:24:52.154 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0758,0x5F,0x00,0x00] format[0x0200] data[0x5003003201F4]
16:24:52.272 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0750,0x5F,0x00,0x00] format[0x0200] data[0x190209]
16:24:52.305 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0758,0x5F,0x00,0x00] format[0x0200] data[0x590239]
16:24:53.174 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x4100] args[0x0750,0x07,0x29,0x00] format[0x0200] data[0x29023E0000000000]
16:24:53.267 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0750,0x29,0x00,0x00] format[0x0200] data[0x1003]
16:24:53.288 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0758,0x29,0x00,0x00] format[0x0200] data[0x5003003201F4]
16:24:53.364 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0750,0x29,0x00,0x00] format[0x0200] data[0x190209]
16:24:53.370 | [Server]-&gt;[Tracer] METADATA =&gt; key[vehicle:info:voltage] value[11.3]
16:24:53.416 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x7F78] args[0x0758,0x00,0x29,0x00] format[0x0200] data[0x29037F1978000000]
16:24:53.495 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0758,0x29,0x00,0x00] format[0x0200] data[0x5902B9]
16:24:54.102 | [Server]-&gt;[Tracer] METADATA =&gt; key[connection:transceived:bytes] value[21887]
16:25:23.370 | [Server]-&gt;[Tracer] METADATA =&gt; key[vehicle:info:voltage] value[14.0]
16:25:28.371 | [Server]-&gt;[Tracer] METADATA =&gt; key[vehicle:info:voltage] value[14.1]
16:25:43.200 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x4100] args[0x0792,0x07,0x00,0x00] data[0x023E000000000000]
16:25:43.232 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0792,0x00,0x00,0x00] data[0x31011000]
16:25:43.327 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x00,0x00] data[0x71011000DB87120000000000000000000000000000000000000000000000000000000000]
16:25:43.410 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0792,0x00,0x00,0x00] data[0x222000]
16:25:43.507 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x00,0x00] data[0x622000FC0E0000000000000000000100000001F0008000A00000000000000000018000]
16:25:43.590 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0792,0x00,0x00,0x00] data[0x221101]
16:25:43.627 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x00,0x00] data[0x621101010101010101010101010101]
16:25:43.692 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0792,0x00,0x00,0x00] data[0x222080]
16:25:43.717 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x00,0x00] data[0x6220808000]
16:25:43.772 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0792,0x00,0x00,0x00] data[0x221000]
16:25:43.867 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x00,0x00] data[0x621000FDFFFFF010000000000000000000000000000001FFFFF00000014001A7BC0000]
16:25:43.990 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0792,0x00,0x00,0x00] data[0x221005]
16:25:44.007 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x00,0x00] data[0x621005E040]
16:25:44.060 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0792,0x00,0x00,0x00] data[0x31011100]
16:25:44.267 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x00,0x00] data[0x7101110018FC000F80000000000000000000000000000000000000000000000180008008]
16:25:44.385 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0792,0x00,0x00,0x00] data[0x2210A0]
16:25:44.407 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x00,0x00] data[0x6210A08000]
16:25:44.465 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0792,0x00,0x00,0x00] data[0x221017]
16:25:44.487 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x00,0x00] data[0x621017C0C0]
16:25:44.536 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0792,0x00,0x00,0x00] data[0x31011200]
16:25:44.638 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x00,0x00] data[0x71011200FE80000000000000000000000000000000000001000000000000000000000000]
16:25:44.711 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0792,0x00,0x00,0x00] data[0x31011600]
16:25:44.809 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x00,0x00] data[0x71011600FFE0000000000000000000000000000000000000000000000000000000000000]
16:25:44.887 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0792,0x00,0x00,0x00] data[0x222006]
16:25:44.907 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x00,0x00] data[0x6220068000]
16:25:45.486 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x4100] args[0x0750,0x07,0x0F,0x00] format[0x0200] data[0x0F023E0000000000]
16:25:45.560 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x4100] args[0x0750,0x07,0x0F,0x00] format[0x0200] data[0x0F023E0000000000]
16:25:45.648 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0750,0x0F,0x00,0x00] format[0x0200] data[0x31011000]
16:25:45.682 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0758,0x0F,0x00,0x00] format[0x0200] data[0x710110009300020000000000000000000000000000000000000000000000000000000000]
16:25:46.344 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x4100] args[0x0792,0x07,0x00,0x00] data[0x023E000000000000]
16:25:54.108 | [Server]-&gt;[Tracer] METADATA =&gt; key[connection:transceived:bytes] value[28613]
16:25:56.022 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0792,0x00,0x00,0x00] data[0x1001]
16:25:56.188 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x00,0x00] data[0x5001003201F4]
16:25:56.306 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0792,0x00,0x00,0x00] data[0x1003]
16:25:56.328 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x00,0x00] data[0x5003003201F4]
16:25:56.396 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0792,0x00,0x00,0x00] data[0x2E2003054606410129007800]
16:25:56.458 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x7F78] args[0x079A,0x00,0x00,0x00] data[0x037F2E7800000000]
16:25:56.578 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x00,0x00] data[0x6E2003]
16:25:56.621 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0792,0x00,0x00,0x00] data[0x31011001]
16:25:56.720 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x00,0x00] data[0x710110010000FEC000000000000000000000000000000000000000000000000000000000]
16:25:56.783 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0792,0x00,0x00,0x00] data[0x1001]
16:25:56.807 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x00,0x00] data[0x5001003201F4]
16:25:57.577 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0792,0x00,0x00,0x00] data[0x1001]
16:25:57.598 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x00,0x00] data[0x5001003201F4]
16:25:57.661 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0792,0x00,0x00,0x00] data[0x1003]
16:25:57.678 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x00,0x00] data[0x5003003201F4]
16:25:57.725 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0792,0x00,0x00,0x00] data[0x220101]
16:25:57.828 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x00,0x00] data[0x6201016000FFF9C0000000000000000000000000000000000000000000000000004000]
16:25:57.891 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0792,0x00,0x00,0x00] data[0x221000]
16:25:57.988 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x00,0x00] data[0x621000FDFFFFF010000000000000000000000000000001FFFFF00000014001A7BC0000]
16:25:58.079 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0792,0x00,0x00,0x00] data[0x221100]
16:25:58.268 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x00,0x00] data[0x621100FFFFFFFFFF800000000000000000000000000000000000000000000000000000]
16:25:58.334 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0792,0x00,0x00,0x00] data[0x221005]
16:25:58.358 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x00,0x00] data[0x621005E040]
16:25:58.413 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0792,0x00,0x00,0x00] data[0x222003]
16:25:58.442 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x00,0x00] data[0x622003054606410129007800]
16:25:59.858 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0792,0x00,0x00,0x00] data[0x1001]
16:25:59.878 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x00,0x00] data[0x5001003201F4]
16:25:59.945 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0792,0x00,0x00,0x00] data[0x1003]
16:25:59.968 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x00,0x00] data[0x5003003201F4]
16:26:00.154 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0792,0x00,0x00,0x00] data[0x3101110A]
16:26:00.227 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x00,0x00] data[0x7101110A]
16:26:01.484 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0792,0x00,0x00,0x00] data[0x3103110A]
16:26:01.507 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x00,0x00] data[0x7103110A01]
16:26:01.645 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0792,0x00,0x00,0x00] data[0x3103110A]
16:26:01.668 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x00,0x00] data[0x7103110A01]
16:26:01.824 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0792,0x00,0x00,0x00] data[0x3103110A]
16:26:01.848 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x00,0x00] data[0x7103110A01]
16:26:01.967 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0792,0x00,0x00,0x00] data[0x3103110A]
16:26:02.013 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x00,0x00] data[0x7103110A01]
16:26:02.136 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0792,0x00,0x00,0x00] data[0x3103110A]
16:26:02.198 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x00,0x00] data[0x7103110A01]
16:26:02.338 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0792,0x00,0x00,0x00] data[0x3103110A]
16:26:02.357 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x00,0x00] data[0x7103110A02]
16:26:02.454 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0792,0x00,0x00,0x00] data[0x1001]
16:26:02.478 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x00,0x00] data[0x5001003201F4]
16:26:05.891 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0792,0x00,0x00,0x00] data[0x22100E]
16:26:05.911 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x00,0x00] data[0x62100E000000008000]
16:26:05.973 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0792,0x00,0x00,0x00] data[0x22100F]
16:26:05.991 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x00,0x00] data[0x62100F800080008000]
16:26:06.112 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0792,0x00,0x00,0x00] data[0x221010]
16:26:06.201 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x00,0x00] data[0x621010800080008000]
16:26:06.294 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0792,0x00,0x00,0x00] data[0x2210A1]
16:26:06.319 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x00,0x00] data[0x6210A18000]
16:26:06.387 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x0792,0x00,0x00,0x00] data[0x2210A4]
16:26:06.408 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x5000] args[0x079A,0x00,0x00,0x00] data[0x6210A48000]
